	count	mean_w	std_1
432	157	972.076433121	74.7081411113
433	156	977.352564103	74.9930935913
434	156	967.33974359	74.5657239453
435	156	968.128205128	74.4636036229
436	156	969.153846154	74.4472996575
437	156	970.967948718	74.5358116224
438	155	968.541935484	75.0121387963
439	155	977.322580645	75.9980827573
440	155	978.103225806	76.0397753688
441	155	976.303225806	76.3178382284
442	153	981.091503268	77.2598364757
443	153	982.359477124	77.3982757359
444	152	965.664473684	76.2564712178
445	152	968.730263158	76.2364113282
446	152	970.743421053	76.1897857468
447	151	974.59602649	76.6416455065
448	151	974.251655629	76.6157196411
449	150	974.76	77.1602572297
450	149	978.436241611	77.6348375141
451	148	979.777027027	78.0816911263
452	148	981.344594595	78.2018385474
453	148	987.945945946	78.8631426801
454	147	993.040816327	79.3013817595
455	147	995.285714286	79.4054337284
456	147	996.850340136	79.5179414073
457	147	996.448979592	79.5110126673
458	146	1001.31506849	79.9029428683
459	146	1003.28767123	80.4594224103
460	146	1002.20547945	80.3776207628
461	146	1002.47260274	80.4127444238
462	144	1006.57638889	81.2052886839
463	143	1010.73426573	81.6809343546
464	143	1012.54545455	81.8095399093
465	142	1014.88732394	82.3742019676
466	142	1015.81690141	82.2840854854
467	141	983.489361702	75.5794036965
468	141	984.085106383	75.5624841175
469	141	983.617021277	75.567724719
470	141	985.319148936	75.5001595704
471	139	995.971223022	76.2567112597
472	139	996.345323741	76.2782666718
473	137	1004.69343066	77.2600397083
474	137	1005.35036496	77.3003193537
475	136	1007.75735294	77.8335079257
476	135	1010.47407407	78.3655294123
477	134	1015.37313433	78.8077267898
478	134	1014.93283582	78.7878066868
479	134	1014.82089552	78.8169110715
480	134	1015.76119403	78.9143469414
481	134	1016.26119403	78.9796775489
482	134	1019.78358209	78.9666934742
483	134	1017.8880597	78.6882509192
484	134	1018.47761194	78.6856303742
485	133	1022.0075188	79.2234334948
486	133	1022.64661654	79.237735506
487	133	1023.84962406	79.3426402158
488	132	1025.31060606	80.1662619498
489	131	1024.58778626	81.0201745681
490	131	1026.77099237	81.0027254023
491	130	1030.84615385	81.4877102664
492	130	1031.06153846	81.5268654236
493	130	1032.88461538	81.4186254015
494	129	1038.82945736	81.8965384742
495	129	1053.60465116	85.173566251
496	129	1064.04651163	88.7850288856
497	129	1064.68217054	88.8167861935
498	128	1069.9375	89.5461639112
499	128	1070.171875	89.5399585209
500	128	1070.265625	89.5855337091
501	128	1078.3671875	89.8202155472
502	128	1078.734375	89.8773911148
503	128	1079.0625	89.9074140663
504	128	1084.8515625	89.7466380516
505	127	1089.05511811	90.4191985115
506	127	1090.99212598	90.3393576304
507	127	1090.99212598	90.342758206
508	126	1095.78571429	90.9249043762
509	126	1096.42857143	91.1436260106
510	125	1105.568	91.8437202349
511	123	1112.05691057	93.2465474213
512	122	1110.96721311	93.6543035022
513	122	1110.78688525	93.4283208416
514	122	1112.2295082	93.3810771913
515	122	1108.2295082	93.1500864054
516	122	1109.06557377	93.2185684047
517	122	1109.44262295	93.2337131849
518	122	1110.99180328	93.3465502528
519	119	1079.7394958	86.3093036273
520	119	1079.8907563	86.3580815201
521	119	1081.31092437	86.1406493615
522	118	1081.90677966	86.8905717546
523	117	1077.39316239	87.4803653245
524	117	1077.14529915	87.4994499288
525	117	1079.16239316	87.6061084196
526	117	1079.31623932	87.6110096625
527	115	1089.5826087	89.0911376823
528	115	1089.46086957	89.0559147687
529	115	1089.09565217	89.0540215842
530	114	1098.3245614	89.6181002713
531	114	1098.11403509	89.5941770393
532	113	1099.87610619	90.4232918135
533	113	1100.21238938	90.4113636281
534	113	1100.7699115	90.6428997396
535	113	1101.30973451	90.6981238225
536	113	1100.7079646	90.728204504
537	113	1104.38053097	91.5113525307
538	113	1123.85840708	92.6134626047
539	111	1124.95495495	95.1428292979
540	111	1126.87387387	95.4092741043
541	111	1129.18918919	95.8291208106
542	111	1129.98198198	95.7995099507
543	111	1130.61261261	95.7770617866
544	107	1146.87850467	99.1064172747
545	107	1146.87850467	99.1076645257
546	105	1138.24761905	100.430393205
547	102	1156.51960784	102.89019063
548	100	1169.42	104.572210013
549	100	1171.7	104.591499259
550	100	1174.93	104.492480281
551	100	1175.04	104.472814037
552	100	1176.11	104.507608244
553	99	1178.83838384	105.767299514
554	98	1182.82653061	106.928656799
555	96	1200.03125	108.6220809
556	95	1212.11578947	109.132353214
557	94	1217.89361702	110.167989555
558	93	1163.04301075	96.2738818953
559	93	1162.03225806	96.3520109637
560	92	1155.14130435	97.2557491407
561	90	1158.84444444	99.3606652581
562	90	1159.82222222	99.4681168094
563	90	1160.44444444	99.5388118221
564	89	1159.82022472	100.566073445
565	89	1165.04494382	100.958803518
566	89	1198.61797753	107.897653367
567	88	1183.70454545	110.505697522
568	87	1180.8045977	111.76610434
569	86	1188.74418605	112.97980545
570	86	1182.18604651	112.010366327
571	86	1184.39534884	112.145758778
572	84	1191.0952381	113.991950752
573	84	1192.36904762	113.84329823
574	82	1193.2195122	114.743085269
575	81	1169.40740741	113.911062581
576	81	1170.88888889	113.876362455
577	79	1192.39240506	115.807515005
578	79	1195.27848101	115.901281648
579	79	1195.12658228	115.891421622
580	79	1195.27848101	115.93860357
581	77	1197.62337662	118.858108021
582	76	1222.39473684	118.971370696
583	76	1223.44736842	118.955388062
584	76	1223.63157895	118.949648558
585	75	1233.46666667	120.18285068
586	74	1240.68918919	121.695363684
587	74	1239.52702703	121.809694653
588	73	1223.76712329	122.228337796
589	71	1240.05633803	125.018087846
590	71	1241.46478873	124.99922709
591	69	1246.07246377	127.376676427
592	68	1258.29411765	129.161355925
593	68	1258.44117647	129.200515534
594	68	1259.20588235	129.210796794
595	67	1212.50746269	122.578237918
596	67	1213.04477612	122.629402449
597	66	1223.31818182	124.06620377
598	66	1223.43939394	124.073998765
599	66	1223.78787879	124.185678553
600	65	1235.64615385	126.352561979
601	62	1253.58064516	131.906545023
602	61	1249.21311475	135.620523123
603	61	1257.0	136.860295328
604	60	1265.0	138.752861222
605	60	1264.86666667	138.77036974
606	59	1277.44067797	140.561681711
607	59	1278.16949153	140.560885208
608	58	1277.36206897	143.203964673
609	58	1277.4137931	143.210025255
610	57	1292.85964912	145.411925558
611	57	1293.15789474	145.473298047
612	57	1293.07017544	145.453042702
613	57	1292.01754386	145.648505485
614	55	1265.65454545	148.406079581
615	53	1265.13207547	154.135048691
616	53	1266.88679245	154.125369917
617	52	1270.86538462	157.089794836
618	52	1273.73076923	157.540569401
619	50	1277.16	163.835418562
620	50	1277.32	163.86294532
621	50	1277.76	164.006278028
622	50	1278.2	163.974111944
623	48	1305.79166667	169.416319012
624	48	1307.4375	169.483612637
625	48	1307.125	169.573925345
626	48	1306.60416667	169.587436756
627	48	1307.27083333	169.645052737
628	48	1307.45833333	169.629393587
629	48	1309.04166667	169.578074548
630	48	1309.1875	169.566885839
631	46	1328.2173913	175.786634813
632	43	1250.74418605	154.347019141
633	43	1250.8372093	154.349935114
634	43	1278.69767442	173.947193954
635	42	1273.0952381	178.066371793
636	41	1258.07317073	181.85727582
637	41	1258.48780488	181.863766092
638	40	1261.95	186.429360204
639	39	1220.61538462	186.717748753
640	38	1249.47368421	189.85371975
641	37	1266.27027027	194.274227443
642	35	1244.74285714	200.056682484
643	34	1263.82352941	205.100364417
644	34	1263.64705882	205.105911002
645	33	1280.24242424	210.891690167
646	33	1280.12121212	210.909438403
647	31	1295.77419355	221.564052777
648	31	1295.77419355	221.564052777
649	31	1296.35483871	221.963048113
650	31	1296.35483871	221.963048113
651	28	1348.46428571	243.037477689
652	27	1351.81481481	252.878866067
653	26	1374.15384615	261.952419005
654	26	1374.15384615	261.952419005
655	26	1374.88461538	261.994593761
656	26	1374.88461538	261.994593761
657	26	1380.03846154	261.994124895
658	25	1410.76	270.550231196
659	24	1459.79166667	277.399603063
660	23	1441.17391304	289.081150663
661	21	1436.04761905	304.451673201
662	20	1473.45	317.597150284
663	20	1473.55	317.656422098
664	20	1474.75	318.705844207
